ParentLocation,Location,Period,Dim1,Dim2,Mortality Value,Mortality Value Low,Mortality Value High,Value
Americas,Canada,2019,Male,Respiratory diseases,10194,7489,13236,10194 [7489-13236]
Americas,Canada,2019,Both sexes,Respiratory diseases,19987,12999,26577,19987 [12999-26577]
Americas,Canada,2019,Female,Diabetes mellitus,2930,2031,4015,2930 [2031-4015]
Americas,Canada,2019,Female,Cardiovascular diseases,33972,25267,42096,33972 [25267-42096]
Americas,Canada,2019,Male,Cardiovascular diseases,36230,29402,43736,36230 [29402-43736]
Americas,Canada,2019,Female,Malignant neoplasms,38614,28723,50119,38614 [28723-50119]
Americas,Canada,2019,Male,Diabetes mellitus,3891,2881,5141,3891 [2881-5141]
Americas,Canada,2019,Male,Malignant neoplasms,42952,32763,55629,42952 [32763-55629]
Americas,Canada,2019,Both sexes,Diabetes mellitus,6821,4912,9156,6821 [4912-9156]
Americas,Canada,2019,Both sexes,Cardiovascular diseases,70202,54669,85832,70202 [54669-85832]
Americas,Canada,2019,Both sexes,Malignant neoplasms,81565,61486,105748,81565 [61486-105748]
Americas,Canada,2019,Female,Respiratory diseases,9793,5510,13342,9793 [5510-13342]
Americas,Canada,2018,Male,Respiratory diseases,10097,7482,12944,10097 [7482-12944]
Americas,Canada,2018,Both sexes,Respiratory diseases,19700,12870,25942,19700 [12870-25942]
Americas,Canada,2018,Female,Diabetes mellitus,2994,2091,4066,2994 [2091-4066]
Americas,Canada,2018,Female,Cardiovascular diseases,34074,25338,42010,34074 [25338-42010]
Americas,Canada,2018,Male,Cardiovascular diseases,36074,29449,43330,36074 [29449-43330]
Americas,Canada,2018,Female,Malignant neoplasms,38261,28861,48921,38261 [28861-48921]
Americas,Canada,2018,Male,Diabetes mellitus,3889,2927,5083,3889 [2927-5083]
Americas,Canada,2018,Male,Malignant neoplasms,42620,33008,54578,42620 [33008-54578]
Americas,Canada,2018,Both sexes,Diabetes mellitus,6883,5018,9149,6883 [5018-9149]
Americas,Canada,2018,Both sexes,Cardiovascular diseases,70147,54787,85340,70147 [54787-85340]
Americas,Canada,2018,Both sexes,Malignant neoplasms,80881,61869,103499,80881 [61869-103499]
Americas,Canada,2018,Female,Respiratory diseases,9603,5388,12998,9603 [5388-12998]
Americas,Canada,2017,Male,Respiratory diseases,10257,7673,12979,10257 [7673-12979]
Americas,Canada,2017,Both sexes,Respiratory diseases,19973,13120,25995,19973 [13120-25995]
Americas,Canada,2017,Female,Diabetes mellitus,3032,2137,4082,3032 [2137-4082]
Americas,Canada,2017,Female,Cardiovascular diseases,34501,25671,42446,34501 [25671-42446]
Americas,Canada,2017,Male,Cardiovascular diseases,36871,30187,44097,36871 [30187-44097]
Americas,Canada,2017,Female,Malignant neoplasms,38177,29255,48037,38177 [29255-48037]
Americas,Canada,2017,Male,Diabetes mellitus,3970,3038,5124,3970 [3038-5124]
Americas,Canada,2017,Male,Malignant neoplasms,42817,33647,54221,42817 [33647-54221]
Americas,Canada,2017,Both sexes,Diabetes mellitus,7002,5176,9206,7002 [5176-9206]
Americas,Canada,2017,Both sexes,Cardiovascular diseases,71372,55858,86543,71372 [55858-86543]
Americas,Canada,2017,Both sexes,Malignant neoplasms,80994,62902,102258,80994 [62902-102258]
